TRACK_SK,TRACK_ID,TRACK_TITLE,IS_CAREER_FLAG,PROGRAMMING_LANGUAGE_SK,PREDOMINANT_DIFFICULTY_SK,RAW_COURSE_DIFFICULTY_LEVELS,RAW_COURSE_TITLES,RAW_INSTRUCTORS,RAW_PROGRAMMING_LANGUAGES
19,19,Big Data in R,false,1,2,"1,2,3","Introduction to Spark with sparklyr in R,Scalable Data Processing in R,Visualizing Big Data with Trelliscope in R,Writing Efficient R Code","Colin Gillespie,Michael Kane,Richie Cotton,Ryan Hafen,Simon Urbanek",r
20,20,Big Data with PySpark,false,2,3,"2,3","Big Data Fundamentals with PySpark,Building Recommendation Engines with PySpark,Cleaning Data with PySpark,Feature Engineering with PySpark,Introduction to PySpark,Machine Learning with PySpark","Andrew Collier,Ben Schmidt,Jamen Long,John Hogue,Mike Metzger,Upendra Kumar Devisetty",python
21,21,Building APIs in Python,false,2,1,"1,2","Intermediate Python for Developers,Introduction to APIs in Python,Introduction to FastAPI,Introduction to Python for Developers","Chris Ramakers,George Boorman,Matt Eckerle",python
22,22,Building Applications with OOP in Python,false,2,3,"2,3","Case Study: Building Software in Python,Intermediate Object-Oriented Programming in Python,Introduction to Object-Oriented Programming in Python","George Boorman,Jake Roach,Mark Pedigo",python
23,23,ChatGPT Fundamentals,false,1,1,1,"Intermediate ChatGPT,Understanding ChatGPT,Understanding Prompt Engineering","Alex Banks,James Chapman",r
24,24,Containerization and Virtualization with Docker and Kubernetes,false,7,2,2,"Containerization and Virtualization Concepts,Intermediate Docker,Introduction to Docker,Introduction to Kubernetes","Frank Heilmann,Julia Ostheimer,Mike Metzger,Tim Sangster",containers
25,25,Data Analysis with Excel Power Tools,false,2,2,"1,2","Intermediate Power Query in Excel,Introduction to Power Query in Excel,Power Pivot in Excel","Lyndsay Girard,Nick Edwards",python
26,26,Data Analyst  in Python,true,2,2,"1,2","Data Manipulation with pandas,Exploratory Data Analysis in Python,Hypothesis Testing in Python,Intermediate Python,Introduction to Data Visualization with Seaborn,Introduction to Python,Introduction to Statistics in Python,Joining Data with pandas,Sampling in Python","Aaren Stubberfield,DataCamp Content Creator,George Boorman,Hugo Bowne-Anderson,Izzy Weber,James Chapman,Maggie Matsui,Richie Cotton",python
27,27,Data Analyst  in R,true,1,1,"1,2","Data Manipulation with dplyr,Exploratory Data Analysis in R,Hypothesis Testing in R,Introduction to Data Visualization with ggplot2,Introduction to R,Introduction to Statistics in R,Introduction to the Tidyverse,Joining Data with dplyr,Sampling in R","Andrew Bray,DataCamp Content Creator,David Robinson,James Chapman,Jonathan Cornelissen,Maggie Matsui,Richie Cotton,Rick Scavetta",r
28,28,Data Analyst in Databricks,true,2,1,"1,2","Data Management in Databricks,Data Manipulation in SQL,Data Visualization in Databricks,Intermediate SQL,Introduction to Databricks,Introduction to Databricks SQL,Introduction to SQL,Joining Data in SQL,Understanding Data Engineering","Gang Wang,Hadrien Lacroix,Iason Prassides,Izzy Weber,Jasmin Ludolf,Kevin Barlow,Maham Khan,Mona Khalil,Smriti Mishra","python,r,sql"
29,29,Data Analyst in Power BI,true,2,1,"1,2","DAX Functions in Power BI,Data Connections in Power BI,Data Modeling in Power BI,Data Preparation in Power BI,Data Transformation in Power BI,Data Visualization in Power BI,Deploying and Maintaining Assets in Power BI,Exploratory Data Analysis in Power BI,Intermediate DAX in Power BI,Intermediate Data Modeling in Power BI,Introduction to DAX in Power BI,Introduction to Power BI,Report Design in Power BI,Reports in Power BI,Trend Analysis in Power BI","Carl Rosseel,Iason Prassides,Jacob Marquez,Jess Ahmet,Kevin Feasel,Khaled Choucri,Maarten Van den Broeck,Sara Billen",python
30,30,Data Analyst in Tableau,true,2,1,"1,2,3","Analyzing Data in Tableau,Calculations in Tableau,Connecting Data in Tableau,Creating Dashboards in Tableau,Data Visualization in Tableau,Introduction to Tableau,Statistical Techniques in Tableau","Agata Bak-Geerinck,Carl Rosseel,Hadrien Lacroix,Lis Sulmont,Maarten Van den Broeck,Sara Billen",python
31,31,Data Engineer in Python,true,2,1,"1,2,3","Cleaning Data in Python,ETL and ELT in Python,Intermediate Git,Intermediate Importing Data in Python,Intermediate Python for Developers,Introduction to APIs in Python,Introduction to Apache Airflow in Python,Introduction to Git,Introduction to Importing Data in Python,Introduction to Python for Developers,Software Engineering Principles in Python,Streamlined Data Ingestion with pandas,Understanding Cloud Computing,Writing Efficient Python Code","Adam Spannbauer,Adel Nehme,Amany Mahfouz,Chris Ramakers,George Boorman,Hugo Bowne-Anderson,Jake Roach,Lis Sulmont,Logan Thomas,Mike Metzger,Sara Billen","python,r,shell"
32,32,Data Governance Fundamentals,false,1,1,1,"Data Governance Concepts,Data Management Concepts,Introduction to Data Privacy,Introduction to Data Quality,Introduction to Data Security","Angeline Corvaglia,Chrissy Bloom,Courtney E. Smith,Sharon Omwega,Tiffany Lewis",r
33,33,Data Literacy Professional,false,1,1,1,"Communicating Data Insights,Data Storytelling Concepts,Forming Analytical Questions,Introduction to Data,Introduction to Data Culture,Introduction to Data Literacy,Introduction to Statistics","Anneleen Rummens,George Boorman,Joanne Xiong,Joe Franklin,Konstantinos Kattidis,Maarten Van den Broeck",r
34,34,Data Manipulation  in Python,false,2,1,"1,2","Data Manipulation with pandas,Introduction to NumPy,Joining Data with pandas,Reshaping Data with pandas","Aaren Stubberfield,Izzy Weber,Maggie Matsui,Maria Eugenia Inzaugarat,Richie Cotton",python
35,35,Data Manipulation  in R,false,1,1,"1,2","Data Manipulation with dplyr,Joining Data with dplyr,Reshaping Data with tidyr","DataCamp Content Creator,James Chapman,Jeroen Boeye",r
36,36,Data Scientist in Python,true,2,1,"1,2","Developing Python Packages,Intermediate Git,Intermediate Importing Data in Python,Intermediate SQL,Introduction to Git,Introduction to SQL,Joining Data in SQL,Machine Learning for Business,Preprocessing for Machine Learning in Python","George Boorman,Hugo Bowne-Anderson,Izzy Weber,James Chapman,James Fulton,Jasmin Ludolf,Karolis Urbonas,Maham Khan","python,r,shell,sql"
37,37,Data Scientist in R,true,1,1,"1,2","Developing R Packages,Feature Engineering in R,Intermediate Git,Intermediate Importing Data in R,Intermediate SQL,Introduction to Git,Introduction to SQL,Joining Data in SQL,Machine Learning for Business","Filip Schouwenaars,George Boorman,Izzy Weber,Jasmin Ludolf,Jorge Zazueta,Karolis Urbonas,Maham Khan","r,shell,sql"
38,38,Data Skills for Business,false,1,1,1,"Data Governance Concepts,Data Management Concepts,Introduction to Data,Introduction to Data Ethics,Introduction to Data Literacy,Understanding Artificial Intelligence","Anneleen Rummens,Courtney E. Smith,Iván P.C.,Joe Franklin,Maarten Van den Broeck,Shalini Kurapati,Sharon Omwega",r
39,39,Data Storytelling,false,1,1,1,"Communicating Data Insights,Data Storytelling Concepts",Joe Franklin,r
40,40,Data Visualization  in R,false,1,1,"1,2","Intermediate Data Visualization with ggplot2,Introduction to Data Visualization with ggplot2,Visualization Best Practices in R","Nicholas Strayer,Rick Scavetta",r
41,41,Data Visualization in Python,false,2,2,"1,2","Improving Your Data Visualizations in Python,Introduction to Data Visualization with Matplotlib,Introduction to Data Visualization with Seaborn,Visualizing Geospatial Data in Python","Ariel Rokem,DataCamp Content Creator,Mary van Valkenburg,Nicholas Strayer",python
42,42,Data Visualization with Plotly and Dash,false,2,1,"1,2","Building Dashboards with Dash and Plotly,Introduction to Data Visualization with Plotly in Python",Alex Scriven,python
43,43,Decision Science Fundamentals,false,1,1,1,"Conquering Data Bias,Decoding Decision Modeling,Demystifying Decision Science","Akshay Swaminathan,Howard Friedman,Konstantinos Kattidis,Tiago Brasil",r
44,44,Deep Learning in Python,false,2,3,"2,3","Deep Learning for Images with PyTorch,Deep Learning for Text with PyTorch,Intermediate Deep Learning with PyTorch,Introduction to Deep Learning with PyTorch,Transformer Models with PyTorch","James Chapman,Jasmin Ludolf,Michał Oleszak,Shubham Jain,Thomas Hossler",python
45,45,Design in Power BI,false,2,1,"1,2","Dashboard Design Concepts,User-Oriented Design in Power BI","Maarten Van den Broeck,Olga Scrivner","python,r"
46,46,Developing AI Applications,false,2,1,"1,2","AI Ethics,Developing AI Systems with the OpenAI API,Developing LLM Applications with LangChain,Introduction to Data Privacy,Introduction to Embeddings with the OpenAI API,Prompt Engineering with the OpenAI API,Working with Hugging Face,Working with the OpenAI API","Eduardo Oliveira,Emmanuel Pire,Fouad Trad,Francesca Donadoni,Jacob Marquez,James Chapman,Joe Franklin,Jonathan Bennion,Tiffany Lewis","python,r"
47,47,Developing Applications with LangChain,false,2,2,2,"Designing Agentic Systems with LangChain,Developing LLM Applications with LangChain,Retrieval Augmented Generation (RAG) with LangChain","Dilini K. Sumanapala,Jonathan Bennion,Meri Nova,PhD",python
48,48,Developing Large Language Models,false,2,3,"1,2,3","Deep Learning for Text with PyTorch,Introduction to LLMs in Python,LLMOps Concepts,Reinforcement Learning from Human Feedback (RLHF),Transformer Models with PyTorch,Working with Llama 3","Imtihan Ahmed,Iván P.C.,James Chapman,Jasmin Ludolf,Max Knobbout,Mina Parham,Shubham Jain","python,r"
49,49,EU AI Act Fundamentals,false,1,1,1,"AI Ethics,Generative AI for Business,Large Language Models for Business,Responsible AI Practices,Understanding Artificial Intelligence,Understanding the EU AI Act","Carl Rosseel,Dan Nechita,Esther Montoya van Egerschot,Iason Prassides,Iván P.C.,Joe Franklin",r
50,50,Excel Fundamentals,false,2,1,1,"Data Analysis in Excel,Data Preparation in Excel,Data Visualization in Excel,Introduction to Excel","Agata Bak-Geerinck,Iason Prassides,Jess Ahmet,Nick Edwards",python
51,51,Finance Fundamentals in Google Sheets,false,6,2,"1,2","Financial Analytics in Google Sheets,Financial Modeling in Google Sheets,Loan Amortization in Google Sheets","Brent Allen,David Ardia,Erin Buchanan,Riccardo Mancini",spreadsheets
52,52,Finance Fundamentals in Python,false,2,2,"1,2,3","Importing and Managing Financial Data in Python,Intermediate Python for Finance,Introduction to Financial Concepts in Python,Introduction to Portfolio Analysis in Python,Introduction to Python for Finance,Manipulating Time Series Data in Python","Adina Howe,Charlotte Werger,Dakota Wixom,Kennedy Behrman,Stefan Jansen",python
53,53,Finance Fundamentals in R,false,1,1,"1,2","Importing and Managing Financial Data in R,Intermediate Portfolio Analysis in R,Intermediate R for Finance,Introduction to Portfolio Analysis in R,Introduction to R for Finance,Manipulating Time Series Data in R","Harrison Brown,Joshua Ulrich,Kris Boudt,Lore Dirick,Ross Bennett",r
54,54,Finance Fundamentals with CFI,false,2,1,"1,2","Corporate Finance Fundamentals,Intermediate Python for Finance,Introduction to Business Valuation,Introduction to Financial Concepts in Python,Introduction to Python for Finance,Math for Finance Professionals","Adina Howe,Dakota Wixom,Duncan McKeen,Jeff Schmidt,Kennedy Behrman,Ryan Spendelow","python,r"
55,55,Financial Reporting in Power BI,false,2,2,2,"Financial Analysis in Power BI,Introduction to Financial Statements in Power BI,Time Series Analysis in Power BI","Kevin Barlow,Nick Edwards,Nikisha Alcindor",python
56,56,GDPR and Data Privacy Fundamentals,false,1,1,1,"Introduction to Data Privacy,Introduction to Data Security,Understanding GDPR","Angeline Corvaglia,Shalini Kurapati,Tiffany Lewis",r
57,57,Git Fundamentals,false,4,1,"1,3","Advanced Git,Intermediate Git,Introduction to Git","Amanda Crawford-Adamo,George Boorman",shell
58,58,GitHub Foundations,false,1,1,1,"Intermediate Git,Intermediate GitHub Concepts,Introduction to Git,Introduction to GitHub Concepts","Arne Warnke,George Boorman,Jasmin Ludolf,Stan Konkin","r,shell"
59,59,Google Sheets Fundamentals,false,6,1,1,"Data Analysis in Google Sheets,Data Visualization in Google Sheets,Intermediate Google Sheets,Introduction to Google Sheets,Pivot Tables in Google Sheets","Frank Sumanski,James Chapman,Raina Hawley,Richie Cotton",spreadsheets
60,60,Image Processing in Python,false,2,2,"2,3","Biomedical Image Analysis in Python,Image Modeling with Keras,Image Processing in Python","Ariel Rokem,Rebeca Gonzalez,Stephen Bailey",python
61,61,Importing & Cleaning Data  in Python,false,2,1,"1,2","Cleaning Data in Python,Intermediate Importing Data in Python,Introduction to Importing Data in Python,Reshaping Data with pandas","Adel Nehme,Hugo Bowne-Anderson,Maria Eugenia Inzaugarat",python
62,62,Importing & Cleaning Data  in R,false,1,2,"1,2","Cleaning Data in R,Intermediate Importing Data in R,Introduction to Importing Data in R,Reshaping Data with tidyr","Filip Schouwenaars,Jeroen Boeye,Maggie Matsui",r
63,63,Interactive Data Visualization in R,false,1,1,"1,2","Interactive Data Visualization with plotly in R,Interactive Maps with leaflet in R,Intermediate Interactive Data Visualization with plotly in R,Visualizing Big Data with Trelliscope in R","Adam Loy,Rich Majerus,Ryan Hafen",r
64,64,Intermediate Google Sheets,false,6,2,"1,2","Error and Uncertainty in Google Sheets,Introduction to Statistics in Google Sheets,Marketing Analytics in Google Sheets","Evan Kramer,Luke Pajer,Ted Kwartler",spreadsheets
65,65,Intermediate Tidyverse Toolbox,false,1,2,"1,2","Dealing With Missing Data in R,Foundations of Functional Programming with purrr,Intermediate Functional Programming with purrr,Machine Learning in the Tidyverse","Colin FAY,DataCamp Content Creator,Dmitriy Gorenshteyn",r
66,66,Java Fundamentals,false,8,2,"1,2","Data Types and Exceptions in Java,Input/Output and Streams in Java,Intermediate Java,Introduction to Java,Introduction to Object-Oriented Programming in Java","Alex Liu,Jim White,Katerina Zahradova,Miller Andrés Trujillo Achury,Sani Yusuf",java
67,67,Julia Fundamentals,false,5,1,"1,2","Data Manipulation in Julia,Intermediate Julia,Introduction to Data Visualization with Julia,Introduction to Julia","Anthony Markham,Gustavo Vieira Sune,James Fulton,Katerina Zahradova",julia
68,68,KNIME Fundamentals,false,2,1,1,"Data Manipulation in KNIME,Data Transformation in KNIME,Data Visualization in KNIME,Introduction to KNIME","Emilio Silvestri,Mahantesh Pattadkal,Philipp Kowalski",python
69,69,Keras Fundamentals,false,2,2,"2,3","Advanced Deep Learning with Keras,Image Modeling with Keras,Introduction to Deep Learning with Keras,Recurrent Neural Networks (RNNs) for Language Modeling with Keras","Ariel Rokem,David Cecchini,Miguel Esteban,Zachary Deane-Mayer",python
70,70,Llama Fundamentals,false,2,2,2,"Fine-Tuning with Llama 3,Working with Llama 3","Francesca Donadoni,Imtihan Ahmed",python
71,71,MLOps Fundamentals,false,1,2,"2,3","Developing Machine Learning Models for Production,Fully Automated MLOps,MLOps Concepts,MLOps Deployment and Life Cycling","Arturo Opsetmoen Amador,Folkert Stijnman,Nemanja Radojković,Sinan Ozdemir",r
72,72,Machine Learning Engineer,true,7,2,"1,2,3","CI/CD for Machine Learning,ETL and ELT in Python,Introduction to Data Quality with Great Expectations,Introduction to Data Versioning with DVC,Introduction to Docker,Introduction to MLflow,Introduction to Shell,MLOps Concepts,MLOps Deployment and Life Cycling,Monitoring Machine Learning Concepts,Monitoring Machine Learning in Python,Supervised Learning with scikit-learn","Davina Moossazadeh,Filip Schouwenaars,Folkert Stijnman,George Boorman,Hakim Elakhrass,Jake Roach,Maciej Balawejder,Nemanja Radojković,Ravi Bhadauria,Tim Sangster,Weston Bassler","containers,python,r,shell"
73,73,Machine Learning Fundamentals in Python,false,2,2,"2,3","Introduction to Deep Learning with PyTorch,Reinforcement Learning with Gymnasium in Python,Supervised Learning with scikit-learn,Unsupervised Learning in Python","Benjamin Wilson,Fouad Trad,George Boorman,Jasmin Ludolf,Thomas Hossler",python
74,74,Machine Learning Fundamentals in R,false,1,2,2,"Machine Learning with Tree-Based Models in R,Machine Learning with caret in R,Modeling with tidymodels in R,Supervised Learning in R: Classification,Supervised Learning in R: Regression,Unsupervised Learning in R","Brett Lantz,David Svancer,Hank Roark,John Mount,Max Kuhn,Nina Zumel,Sandro Raabe,Zachary Deane-Mayer",r
75,75,Machine Learning Scientist in Python,true,2,2,"2,3","Cluster Analysis in Python,Dimensionality Reduction in Python,Extreme Gradient Boosting with XGBoost,Feature Engineering for Machine Learning in Python,Feature Engineering for NLP in Python,Hyperparameter Tuning in Python,Image Processing in Python,Intermediate Deep Learning with PyTorch,Introduction to Deep Learning with PyTorch,Introduction to Natural Language Processing in Python,Introduction to PySpark,Linear Classifiers in Python,Machine Learning for Time Series Data in Python,Machine Learning with PySpark,Machine Learning with Tree-Based Models in Python,Model Validation in Python,Natural Language Processing with spaCy,Preprocessing for Machine Learning in Python,Supervised Learning with scikit-learn,Unsupervised Learning in Python,Winning a Kaggle Competition in Python","Alex Scriven,Andrew Collier,Azadeh Mobasher,Ben Schmidt,Benjamin Wilson,Chris Holdgraf,Elie Kawerk,George Boorman,James Chapman,Jasmin Ludolf,Jeroen Boeye,Kasey Jones,Katharine Jarmul,Michał Oleszak,Mike Gelbart,Rebeca Gonzalez,Robert O'Callaghan,Rounak Banik,Sergey Fogelson,Shaumik Daityari,Thomas Hossler,Yauhen Babakhin",python
76,76,Machine Learning Scientist in R,true,1,2,"2,3","Bayesian Regression Modeling with rstanarm,Cluster Analysis in R,Dimensionality Reduction in R,Feature Engineering in R,Fundamentals of Bayesian Data Analysis in R,Hyperparameter Tuning in R,Intermediate Regression in R,Introduction to Spark with sparklyr in R,Machine Learning in the Tidyverse,Machine Learning with Tree-Based Models in R,Machine Learning with caret in R,Modeling with tidymodels in R,Supervised Learning in R: Classification,Supervised Learning in R: Regression,Support Vector Machines in R,Unsupervised Learning in R","Brett Lantz,David Svancer,Dmitriy Gorenshteyn,Hank Roark,Jake Thompson,John Mount,Jorge Zazueta,Kailash Awati,Matt Pickard,Max Kuhn,Nina Zumel,Rasmus Bååth,Richie Cotton,Sandro Raabe,Shirin  Elsinghorst (formerly Glander),Zachary Deane-Mayer",r
77,77,Machine Learning in Production in Python,false,2,2,"2,3","Introduction to Data Versioning with DVC,Introduction to MLflow,MLOps Concepts,Monitoring Machine Learning Concepts,Monitoring Machine Learning in Python","Folkert Stijnman,Hakim Elakhrass,Maciej Balawejder,Ravi Bhadauria,Weston Bassler","python,r"
78,78,Marketing Analytics in Python,false,2,2,2,"Analyzing Social Media Data in Python,Customer Segmentation in Python,Machine Learning for Marketing in Python,Market Basket Analysis in Python,Marketing Analytics: Predicting Customer Churn in Python","Alex Hanna,Isaiah Hull,Karolis Urbonas,Mark Peterson",python
79,79,Marketing Analytics in R,false,1,2,"2,3","Analyzing Social Media Data in R,Building Response Models in R,Choice Modeling for Marketing in R,Introduction to Text Analysis in R,Machine Learning for Marketing Analytics in R,Market Basket Analysis in R","Christopher Bruffaerts,DataCamp Content Creator,Maham Khan,Sowmya Vivek,Verena Pflieger,Vivek Vijayaraghavan",r
80,80,Microsoft Azure Fundamentals (AZ-900),false,1,1,1,"Understanding Cloud Computing,Understanding Microsoft Azure,Understanding Microsoft Azure Architecture and Services,Understanding Microsoft Azure Management and Governance","Anneleen Rummens,Florin Angelescu,Kevin James,Lis Sulmont,Sara Billen",r
81,81,Natural Language Processing in Python,false,2,2,"2,3","Feature Engineering for NLP in Python,Introduction to Natural Language Processing in Python,Natural Language Processing with spaCy,Sentiment Analysis in Python,Spoken Language Processing in Python","Azadeh Mobasher,Daniel Bourke,Katharine Jarmul,Rounak Banik,Violeta Misheva",python
82,82,OpenAI Fundamentals,false,2,2,"1,2","Developing AI Systems with the OpenAI API,Introduction to Embeddings with the OpenAI API,Multi-Modal Systems with the OpenAI API,Prompt Engineering with the OpenAI API,Working with the OpenAI API","Eduardo Oliveira,Emmanuel Pire,Fouad Trad,Francesca Donadoni,James Chapman,Stan Konkin",python
83,83,Power BI Fundamentals,false,2,1,1,"Data Modeling in Power BI,Data Preparation in Power BI,Data Visualization in Power BI,Introduction to DAX in Power BI,Introduction to Power BI","Iason Prassides,Jess Ahmet,Khaled Choucri,Maarten Van den Broeck,Sara Billen",python
84,84,Professional Data Engineer in Python,true,7,2,"1,2,3","Containerization and Virtualization Concepts,DevOps Concepts,Introduction to Apache Kafka,Introduction to Docker,Introduction to Kubernetes,Introduction to NoSQL,Introduction to Object-Oriented Programming in Python,Introduction to PySpark,Introduction to Shell,Introduction to Testing in Python,Introduction to dbt,Streaming Concepts,Understanding Modern Data Architecture","Alexander Levin,Ben Schmidt,Cem Sakarya,Filip Schouwenaars,Frank Heilmann,George Boorman,Jake Roach,Julia Ostheimer,Mike Metzger,Miller Andrés Trujillo Achury,Tim Sangster","containers,python,r,shell"
